"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"2f.3","BITS:7b","Data Label","Global","Imported","0","0"
"2f.4","BITS:7c","Data Label","Global","Imported","0","0"
"2f.5","BITS:7d","Data Label","Global","Imported","0","0"
"2f.6","BITS:7e","Data Label","Global","Imported","0","0"
"2f.7","BITS:7f","Data Label","Global","Imported","0","0"
"P0.0","BITS:80","Data Label","Global","Imported","0","0"
"P0.1","BITS:81","Data Label","Global","Imported","0","0"
"P0.2","BITS:82","Data Label","Global","Imported","0","0"
"P0.3","BITS:83","Data Label","Global","Imported","0","0"
"P0.4","BITS:84","Data Label","Global","Imported","0","0"
"P0.5","BITS:85","Data Label","Global","Imported","0","0"
"P0.6","BITS:86","Data Label","Global","Imported","0","0"
"P0.7","BITS:87","Data Label","Global","Imported","0","0"
"IT0","BITS:88","Data Label","Global","Imported","0","0"
"IE0","BITS:89","Data Label","Global","Imported","0","0"
"IT1","BITS:8a","Data Label","Global","Imported","0","0"
"IE1","BITS:8b","Data Label","Global","Imported","0","0"
"TR0","BITS:8c","Data Label","Global","Imported","0","0"
"TF0","BITS:8d","Data Label","Global","Imported","0","0"
"TR1","BITS:8e","Data Label","Global","Imported","0","0"
"TF1","BITS:8f","Data Label","Global","Imported","0","0"
"P1.0","BITS:90","Data Label","Global","Imported","0","0"
"P1.1","BITS:91","Data Label","Global","Imported","0","0"
"P1.2","BITS:92","Data Label","Global","Imported","0","0"
"P1.3","BITS:93","Data Label","Global","Imported","0","0"
"P1.4","BITS:94","Data Label","Global","Imported","0","0"
"P1.5","BITS:95","Data Label","Global","Imported","0","0"
"P1.6","BITS:96","Data Label","Global","Imported","0","0"
"P1.7","BITS:97","Data Label","Global","Imported","0","0"
"RI","BITS:98","Data Label","Global","Imported","0","0"
"TI","BITS:99","Data Label","Global","Imported","0","0"
"RB8","BITS:9a","Data Label","Global","Imported","0","0"
"TB8","BITS:9b","Data Label","Global","Imported","0","0"
"REN","BITS:9c","Data Label","Global","Imported","0","0"
"SM2","BITS:9d","Data Label","Global","Imported","0","0"
"SM1","BITS:9e","Data Label","Global","Imported","0","0"
"SM0","BITS:9f","Data Label","Global","Imported","0","0"
"P2.0","BITS:a0","Data Label","Global","Imported","0","0"
"P2.1","BITS:a1","Data Label","Global","Imported","0","0"
"P2.2","BITS:a2","Data Label","Global","Imported","0","0"
"P2.3","BITS:a3","Data Label","Global","Imported","0","0"
"P2.4","BITS:a4","Data Label","Global","Imported","0","0"
"P2.5","BITS:a5","Data Label","Global","Imported","0","0"
"P2.6","BITS:a6","Data Label","Global","Imported","0","0"
"P2.7","BITS:a7","Data Label","Global","Imported","0","0"
"EX0","BITS:a8","Data Label","Global","Imported","1","0"
"ET0","BITS:a9","Data Label","Global","Imported","0","0"
"EX1","BITS:aa","Data Label","Global","Imported","1","0"
"ET1","BITS:ab","Data Label","Global","Imported","0","0"
"ES","BITS:ac","Data Label","Global","Imported","0","0"
"ET2","BITS:ad","Data Label","Global","Imported","0","0"
"EC","BITS:ae","Data Label","Global","Imported","0","0"
"EA","BITS:af","Data Label","Global","Imported","19","0"
"RXD","BITS:b0","Data Label","Global","Imported","0","0"
"TXD","BITS:b1","Data Label","Global","Imported","0","0"
"INT0","BITS:b2","Data Label","Global","Imported","0","0"
"INT1","BITS:b3","Data Label","Global","Imported","0","0"
"T0","BITS:b4","Data Label","Global","Imported","0","0"
"T1","BITS:b5","Data Label","Global","Imported","0","0"
"WR","BITS:b6","Data Label","Global","Imported","0","0"
"RD","BITS:b7","Data Label","Global","Imported","0","0"
"PX0","BITS:b8","Data Label","Global","Imported","1","0"
"PT0","BITS:b9","Data Label","Global","Imported","0","0"
"PX1","BITS:ba","Data Label","Global","Imported","1","0"
"PT1","BITS:bb","Data Label","Global","Imported","0","0"
